25.0, 2
25.0, 2
21.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 2
25.0, 2
25.0, 2
25.0, 1
25.0, 1
25.0, 1
25.0, 1
21.0, 1
22.0, 1
21.0, 1
25.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
24.0, 2
24.0, 2
24.0, 2
24.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
20.0, 2
20.0, 2
20.0, 2
20.0, 2
20.0, 2
21.0, 2
20.0, 2
20.0, 2
21.0, 2
21.0, 2
21.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
24.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
30.0, 1
30.0, 2
27.0, 2
27.0, 2
27.0, 2
28.0, 2
28.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
25.0, 2
27.0, 2
27.0, 2
27.0, 2
25.0, 2
27.0, 2
27.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
28.0, 2
25.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 2
27.0, 3
28.0, 3
28.0, 3
28.0, 3
28.0, 3
28.0, 3
27.0, 3
27.0, 3
27.0, 3
23.0, 3
25.0, 2
25.0, 2
25.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 3
23.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 2
26.0, 2
23.0, 3
23.0, 3
23.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
25.0, 2
26.0, 3
26.0, 3
26.0, 3
26.0, 3
23.0, 3
23.0, 3
23.0, 3
23.0, 3
24.0, 3
24.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
25.0, 2
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
26.0, 3
26.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
26.0, 3
23.0, 3
24.0, 3
24.0, 2
24.0, 2
24.0, 2
26.0, 3
26.0, 3
26.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 3
25.0, 3
25.0, 3
25.0, 3
26.0, 2
26.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 3
24.0, 3
25.0, 3
26.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
25.0, 2
24.0, 2
24.0, 2
25.0, 3
25.0, 3
25.0, 3
25.0, 3
25.0, 2
25.0, 2
25.0, 3
25.0, 3
25.0, 3
24.0, 3
25.0, 3
28.0, 2
28.0, 2
28.0, 2
28.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 1
25.0, 3
25.0, 3
25.0, 3
23.0, 3
23.0, 3
23.0, 2
23.0, 2
25.0, 2
25.0, 2
23.0, 2
23.0, 3
23.0, 3
25.0, 3
25.0, 2
25.0, 2
25.0, 2
25.0, 1
25.0, 1
25.0, 2
25.0, 2
23.0, 3
23.0, 3
23.0, 3
23.0, 3
23.0, 3
23.0, 2
23.0, 2
23.0, 2
23.0, 2
24.0, 2
23.0, 3
23.0, 3
23.0, 2
25.0, 1
25.0, 1
25.0, 1
24.0, 1
24.0, 1
24.0, 1
24.0, 1
23.0, 3
23.0, 3
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 2
23.0, 3
23.0, 3
23.0, 3
23.0, 3
23.0, 3
25.0, 3
23.0, 3
23.0, 2
23.0, 2
23.0, 2
23.0, 3
23.0, 3
23.0, 3
23.0, 3
24.0, 3
24.0, 3
24.0, 2
24.0, 2
24.0, 2
24.0, 2
23.0, 3
23.0, 3
23.0, 3
23.0, 3
23.0, 3
24.0, 3
24.0, 3
24.0, 3
24.0, 3
23.0, 3
24.0, 3
24.0, 3
24.0, 3
24.0, 3
24.0, 3
24.0, 2
24.0, 2
24.0, 2
24.0, 1
24.0, 1
24.0, 3
24.0, 3
24.0, 2
24.0, 2
23.0, 2
24.0, 2
24.0, 2
24.0, 2
24.0, 2
24.0, 2
24.0, 3
24.0, 3
24.0, 3
