node,GEOID20,district
354,08013012105,2
355,08053973100,0
356,08091967601,0
357,08091967602,0
358,08013012204,2
359,08013012300,2
360,08013012501,2
361,08013012505,2
362,08013012507,2
363,08065961702,3
364,08065961701,3
365,08101000500,0
366,08101000100,0
367,08101000300,0
368,08101000400,0
369,08005006502,6
370,08005082600,4
371,08005005628,6
372,08005006711,6
373,08001009603,1
374,08059980700,2
375,08059060501,5
376,08059011807,5
377,08059011808,5
378,08059009855,5
379,08059011101,5
380,08059011102,5
381,08059011551,5
382,08059009853,5
383,08059009856,5
384,08059011552,5
385,08059009854,5
386,08059009858,5
387,08059009857,5
388,08059980800,5
389,08051963601,0
390,08051963602,0
391,08051963701,0
392,08051963702,0
393,08001009604,1
394,08041004009,7
395,08005005627,6
396,08005081300,6
397,08005084000,6
398,08041004100,7
399,08041004701,7
400,08041004702,7
401,08041001302,7
402,08001009608,1
403,08001009607,1
404,08014030500,2
405,08014031000,2
406,08041005201,7
407,08041001600,7
408,08041001700,7
409,08005081200,6
410,08005007101,4
411,08005007500,6
412,08041003906,7
413,08041004703,7
414,08041004800,7
415,08005005551,6
416,08005005630,6
417,08005005552,6
418,08005005553,6
419,08005005611,6
420,08005005612,6
421,08005005614,6
422,08005005619,6
423,08005005620,6
424,08001009553,1
425,08005005621,6
426,08041001800,7
427,08005005622,6
428,08005005624,6
429,08005005625,6
430,08005005626,6
431,08005005629,6
432,08005084700,6
433,08005083400,4
434,08005005631,6
435,08005007703,6
436,08079973600,0
437,08107000703,3
438,08107000702,3
439,08107000701,3
440,08041002000,7
441,08013013202,2
442,08013012401,2
443,08013012510,2
444,08031004110,1
445,08031004108,1
446,08031012016,5
447,08031003501,1
448,08031004308,6
449,08031004309,6
450,08031001705,1
451,08031001602,1
452,08031001703,1
453,08031980200,1
454,08031001707,1
455,08031004307,6
456,08031002704,6
457,08031002706,6
458,08031002804,6
459,08031002102,6
460,08031002101,6
461,08031004310,6
462,08031001601,1
463,08031001603,1
464,08031001704,1
465,08031005003,6
466,08031000704,5
467,08031001706,1
468,08031002405,1
469,08031004109,1
470,08031004111,1
471,08031004113,1
472,08031005004,6
473,08031006903,6
474,08031006902,6
475,08031002604,1
476,08031004112,1
477,08031003005,6
478,08031002705,6
479,08031004406,6
480,08031002707,6
481,08031002404,1
482,08031004407,6
483,08031003502,1
484,08031012015,5
485,08031002805,6
486,08031003801,6
487,08031000503,5
488,08067970601,0
489,08067970602,0
490,08067970706,0
491,08067970705,0
492,08041004200,7
493,08041004501,7
494,08041002101,7
495,08041002102,7
496,08041002200,7
497,08041002700,7
498,08049000100,3
499,08043979002,0
500,08043979001,0
501,08029965202,0
502,08029965002,0
503,08029965001,0
504,08029965201,0
505,08071000800,0
506,08041004515,7
507,08085966301,0
508,08085966302,0
509,08085966401,0
510,08085966402,0
511,08105977001,0
512,08105977002,0
513,08059012052,5
514,08059009807,5
515,08059060400,5
516,08059009827,5
517,08059009830,5
518,08059010206,5
519,08059010208,5
520,08059010209,5
521,08059010210,5
522,08059010211,5
523,08059010212,5
524,08059010213,5
525,08059010303,5
526,08059009831,5
527,08059009832,5
528,08059009833,5
529,08059009834,5
530,08059009835,5
531,08059009836,5
532,08059010304,5
533,08059010305,5
534,08059010307,5
535,08059010308,5
536,08059010402,5
537,08059010405,5
538,08059010406,5
539,08033000100,0
540,08059009838,5
541,08059010502,5
542,08059010503,5
543,08059010504,5
544,08059010604,5
545,08059010702,5
546,08059010801,5
547,08059010901,5
548,08059010902,5
549,08059011000,5
550,08059011202,5
551,08059011300,5
552,08003960000,0
553,08003960100,0
554,08003960300,0
555,08035014109,4
556,08035014110,4
557,08035014112,4
558,08031000401,1
559,08035014113,4
560,08035014114,4
561,08031000501,5
562,08031000600,1
563,08041005110,7
564,08123001410,2
565,08123001004,2
566,08123001416,2
567,08123001417,2
568,08031000904,5
569,08031003601,1
570,08031006812,6
571,08031002300,1
572,08031005102,6
573,08031001301,6
574,08031001302,6
575,08031001401,6
576,08031001402,6
577,08031001403,6
578,08123001408,3
579,08123001407,3
580,08005007302,6
581,08023972700,0
582,08069002005,3
583,08031005300,6
584,08031005502,6
585,08031005503,6
586,08031006804,6
587,08069002007,3
588,08069002008,3
589,08069001603,3
590,08014980300,2
591,08099000700,0
592,08031006810,6
593,08031006813,6
594,08059060300,5
595,08059009823,5
596,08031007013,6
597,08031007037,6
598,08031007088,6
599,08123000501,2
600,08001009320,1
601,08001009322,1
602,08001009323,1
603,08001009325,1
604,08001009401,1
605,08059009824,5
606,08051963900,0
607,08051963800,0
608,08031008304,1
609,08031008305,1
610,08031008306,1
611,08001009406,1
612,08001009407,1
613,08001009409,1
614,08001009410,1
615,08001009411,1
616,08001009501,1
617,08001009502,1
618,08001008000,1
619,08001008100,1
620,08001008200,1
621,08001008308,1
622,08001008309,1
623,08001008505,1
624,08001008506,1
625,08001008507,1
626,08031011902,5
627,08031011903,5
628,08031012001,5
629,08001008508,1
630,08001008524,1
631,08001008526,2
632,08001060100,2
633,08001060200,2
634,08041005202,7
635,08041005300,7
636,08041005502,7
637,08041005601,7
638,08041005602,7
639,08041006000,7
640,08111972600,0
641,08001008538,1
642,08001015000,1
643,08097000500,3
644,08097000402,3
645,08059980400,5
646,08035014504,4
647,08041005122,7
648,08041005114,7
649,08041004513,0
650,08041004708,7
651,08093000102,3
652,08093000101,3
653,08083969301,0
654,08083969302,0
655,08101002923,0
656,08101002922,0
657,08101002921,0
658,08101002920,0
659,08101002919,0
660,08043979400,0
661,08037000401,3
662,08037000701,3
663,08037000302,3
664,08037000502,3
665,08037000501,3
666,08037000402,3
667,08037000702,3
668,08037000301,3
669,08037000703,3
670,08005007103,4
671,08005080500,6
672,08005083900,6
673,08013013703,2
674,08013013705,2
675,08013013706,2
676,08103951100,3
677,08103951200,3
678,08013012508,2
679,08013012509,2
680,08013012511,2
681,08013012603,2
682,08013012701,2
683,08014031401,2
684,08014031201,2
685,08014031202,2
686,08014031102,2
687,08014031104,2
688,08014031402,2
689,08014031101,2
690,08014031403,2
691,08014031103,2
692,08101001100,0
693,08013012705,2
694,08013012708,2
695,08013012709,2
696,08013012903,2
697,08101002906,0
698,08101002802,0
699,08101000800,0
700,08101000902,0
701,08101000903,0
702,08013012904,2
703,08013012905,2
704,08013060900,2
705,08013012907,2
706,08013013003,2
707,08101000600,0
708,08031004404,6
709,08031004403,1
710,08101000904,0
711,08101000905,0
712,08101001200,0
713,08101001800,0
714,08049000205,3
715,08049000207,3
716,08049000204,3
717,08049000203,3
718,08049000206,3
719,08011966702,0
720,08011966701,0
721,08101001900,0
722,08101002000,0
723,08101002100,0
724,08101002200,0
725,08013013004,2
726,08013013005,2
727,08013013006,2
728,08013013205,2
729,08013013207,2
730,08041003914,7
731,08041007302,7
732,08041007203,7
733,08041004518,7
734,08041007204,7
735,08041007105,7
736,08041007206,7
737,08041005116,7
738,08031003701,1
739,08031003702,6
740,08031003703,6
741,08031003901,6
742,08031004102,1
743,08031004103,1
744,08031004104,1
745,08007974202,0
746,08007974201,0
747,08005082300,6
748,08005080800,6
749,08005015100,6
750,08041006302,7
751,08041004402,0
752,08041006901,7
753,08031015300,6
754,08005006808,6
755,08005006815,6
756,08005080200,6
757,08005081800,6
758,08005081900,4
759,08123001411,2
760,08005080000,6
761,08005080100,6
762,08031002901,6
763,08035014139,4
764,08005080900,6
765,08005080700,6
766,08005080300,6
767,08005080400,6
768,08005081600,6
769,08005082500,6
770,08031002902,6
771,08031003002,6
772,08031003004,6
773,08031003101,1
774,08031003102,1
775,08123002004,2
776,08123002005,2
777,08123002019,2
778,08123002018,2
779,08123002006,2
780,08005082400,6
781,08005084500,4
782,08085966202,0
783,08085966501,0
784,08085966503,0
785,08085966201,0
786,08085966602,0
787,08085966601,0
788,08085966502,0
789,08059009852,5
790,08059009850,5
791,08059011402,5
792,08081000500,3
793,08081000400,3
794,08081000300,3
795,08059012059,5
796,08015000402,3
797,08035013911,4
798,08035014009,4
799,08035014013,4
800,08035014604,4
801,08035014506,4
802,08035014125,4
803,08035014131,4
804,08035014135,4
805,08035014203,4
806,08035014128,4
807,08035014404,4
808,08035014603,4
809,08035014505,4
810,08035014405,4
811,08005082000,4
812,08005082200,4
813,08005081400,6
814,08005084100,4
815,08005084200,4
816,08005084300,4
817,08005084400,4
818,08005085700,4
819,08005005632,6
820,08005081500,6
821,08019014800,3
822,08019014900,3
823,08081000600,3
824,08113968200,0
825,08005084800,4
826,08005085800,4
827,08005086300,4
828,08005085200,4
829,08005085300,4
830,08005086600,4
831,08005083100,4
832,08005085000,6
833,08005087000,6
834,08005085500,4
835,08005085600,4
836,08005085100,4
837,08005086100,4
838,08005086700,4
839,08005085900,4
840,08005083000,4
841,08005007301,6
842,08005087100,6
843,08005086900,6
844,08005082900,4
845,08005081700,6
846,08015000100,3
847,08015000200,3
848,08015000300,3
849,08069001307,3
850,08069001606,3
851,08069002803,3
852,08069000401,3
853,08069000402,3
854,08069000504,3
855,08069000506,3
856,08069000801,3
857,08069000802,3
858,08069002011,3
859,08077001703,0
860,08101002915,0
861,08101980100,0
862,08101002912,0
863,08101003500,0
864,08069001605,3
865,08069002401,3
866,08069000202,3
867,08069000505,3
868,08069001607,3
869,08069001608,3
870,08059009851,5
871,08059015900,5
872,08059011732,5
873,08059011733,5
874,08059011806,5
875,08059012060,5
876,08059011401,5
877,08059015800,5
878,08031015700,5
879,08031001901,6
880,08031004504,5
881,08031004505,5
882,08031004506,5
883,08031008312,1
884,08031008387,1
885,08031004503,5
886,08031004306,6
887,08031008386,1
888,08031008389,1
889,08031008391,1
890,08031008390,1
891,08031015600,6
892,08035014010,4
893,08035014007,4
894,08035014126,4
895,08035014130,4
896,08035014008,4
897,08035014011,4
898,08035014127,4
899,08001007802,1
900,08001008550,1
901,08001008549,1
902,08001008545,2
903,08001008544,2
904,08001008547,1
905,08001008548,1
906,08001009207,1
907,08035014129,4
908,08035014124,4
909,08035014006,4
910,08001009327,1
911,08001009752,1
912,08001008536,1
913,08001008546,1
914,08001009206,1
915,08001009751,1
916,08001008709,1
917,08013013506,2
918,08013013508,2
919,08013061400,2
920,08031006701,6
921,08031000102,5
922,08031000202,1
923,08031000301,5
924,08031000302,5
925,08013061300,2
926,08013013212,2
927,08013013507,2
928,08123002007,2
929,08123002014,2
930,08123002203,3
931,08123002209,3
932,08123002101,3
933,08014030600,2
934,08123002105,2
935,08123001914,2
936,08123001910,2
937,08123001911,2
938,08123001909,2
939,08123002108,3
940,08123002106,2
941,08123002104,3
942,08123002107,3
943,08123001912,2
944,08123001913,2
945,08005006501,6
946,08005006857,6
947,08031980100,1
948,08087000100,4
949,08087000700,4
950,08087000200,4
951,08087000600,4
952,08087000400,4
953,08087000500,4
954,08087000800,4
955,08087000300,4
956,08085966100,0
957,08069000201,3
958,08099000200,0
959,08099000300,0
960,08105976700,0
961,08071000200,0
962,08071000500,0
963,08071000300,0
964,08071000400,0
965,08071000100,0
966,08069000503,3
967,08069001308,3
968,08069002010,3
969,08069001808,3
970,08069002801,3
971,08069002503,3
972,08014030700,2
973,08014030400,2
974,08031003202,6
975,08031003203,6
976,08031003300,6
977,08031003401,6
978,08014030100,2
979,08014030000,2
980,08014030300,2
981,08014980200,2
982,08083941100,0
983,08005007702,6
984,08005007704,6
985,08023972600,0
986,08075966101,4
987,08075966102,4
988,08059009901,5
989,08059010001,5
990,08041005000,7
991,08013012206,2
992,08013012107,2
993,08013013214,2
994,08013013215,2
995,08041000102,7
996,08041000202,7
997,08041000301,7
998,08041000400,7
999,08041000500,7
1000,08035013912,4
1001,08035013913,4
1002,08035014144,4
1003,08035014142,4
1004,08035014141,4
1005,08035013914,4
1006,08035013915,4
1007,08035014143,4
1008,08035014410,4
1009,08035014407,4
1010,08035014017,4
1011,08035014409,4
1012,08035014206,4
1013,08035014408,4
1014,08035014207,4
1015,08035014208,4
1016,08035014145,4
1017,08035014205,4
1018,08035014146,4
1019,08035014015,4
1020,08035014014,4
1021,08035014016,4
1022,08041000600,7
1023,08041000700,7
1024,08041000800,7
1025,08041000900,7
1026,08041001000,7
1027,08041001101,7
1028,08013013704,2
1029,08013060801,2
1030,08013012802,2
1031,08013060601,2
1032,08013060602,2
1033,08013012207,2
1034,08013012208,2
1035,08013012801,2
1036,08013060802,2
1037,08013012106,2
1038,08013012205,2
1039,08013012610,2
1040,08013012609,2
1041,08041001104,7
1042,08041001301,7
1043,08063962400,4
1044,08037000404,3
1045,08037000405,3
1046,08037000505,3
1047,08037000504,3
1048,08041004514,7
1049,08041004520,7
1050,08041004517,7
1051,08041004516,0
1052,08041003911,7
1053,08041000103,7
1054,08041005121,7
1055,08041002802,7
1056,08041002902,7
1057,08041002901,7
1058,08041005113,7
1059,08041005117,7
1060,08041005112,7
1061,08041005124,7
1062,08041005123,7
1063,08041005118,7
1064,08041005119,7
1065,08041003711,7
1066,08041003710,7
1067,08041003912,7
1068,08041005115,7
1069,08069001714,3
1070,08069002403,3
1071,08069001904,3
1072,08069001905,3
1073,08069002505,3
1074,08069001713,3
1075,08069001710,3
1076,08069001711,3
1077,08069001812,3
1078,08069001810,3
1079,08001008553,1
1080,08001060002,2
1081,08001008552,1
1082,08001008354,1
1083,08001008557,1
1084,08001008556,1
1085,08001008561,1
1086,08001008560,2
1087,08001008355,1
1088,08001060001,2
1089,08001008555,1
1090,08001008554,1
1091,08001008558,1
1092,08001008559,1
1093,08001008562,2
1094,08001009004,1
1095,08001008564,2
1096,08001008563,1
1097,08001009003,1
1098,08001008565,1
1099,08069001813,3
1100,08069002507,3
1101,08069002504,3
1102,08069002508,3
1103,08069002506,3
1104,08069002602,3
1105,08069002404,3
1106,08069002804,3
1107,08069002805,3
1108,08069001712,3
1109,08069001715,3
1110,08069002601,3
1111,08069001811,3
1112,08117000405,3
1113,08117000403,3
1114,08117000406,3
1115,08117000302,3
1116,08117000203,3
1117,08117000404,3
1118,08117000202,3
1119,08117000301,3
1120,08117000201,3
1121,08117000103,3
1122,08117000101,3
1123,08117000102,3
1124,08045951702,3
1125,08045951902,3
1126,08035013907,4
1127,08035014602,4
1128,08014030800,2
1129,08014031300,2
1130,08045952003,3
1131,08045952004,3
1132,08097000102,3
1133,08097000101,3
1134,08097000403,3
1135,08097000404,3
1136,08029964600,0
1137,08029964700,0
1138,08029964900,0
1139,08029965100,0
1140,08029964800,0
1141,08013012103,2
1142,08013012710,2
1143,08013012707,2
1144,08013012605,2
1145,08013012201,2
1146,08013013201,2
1147,08013013601,2
1148,08013060700,2
1149,08013013602,2
1150,08013013306,2
1151,08043978100,0
1152,08043978200,0
1153,08043978500,0
1154,08043978600,0
1155,08043978300,0
1156,08043979200,0
1157,08043978400,0
1158,08043980100,0
1159,08043979100,0
1160,08043978800,0
1161,08043980300,0
1162,08031004801,5
1163,08031005001,6
1164,08041004502,7
1165,08041004902,7
1166,08041005800,7
1167,08041001500,7
1168,08041005700,7
1169,08041002502,7
1170,08041003303,7
1171,08041005501,7
1172,08041007000,7
1173,08115968300,4
1174,08069000600,3
1175,08069000700,3
1176,08069000901,3
1177,08069000902,3
1178,08069001004,3
1179,08069001007,3
1180,08069001008,3
1181,08069002700,3
1182,08069001902,3
1183,08069001003,3
1184,08069000300,3
1185,08069001301,3
1186,08069001109,3
1187,08069001009,3
1188,08069001010,3
1189,08069001104,3
1190,08069001106,3
1191,08069001107,3
1192,08069001110,3
1193,08069001111,3
1194,08035014133,4
1195,08069002300,3
1196,08069001112,3
1197,08069001113,3
1198,08069001114,3
1199,08069001304,3
1200,08069001305,3
1201,08069001306,3
1202,08069001601,3
1203,08069001708,3
1204,08069001602,3
1205,08069001706,3
1206,08069001707,3
1207,08069000100,3
1208,08069001804,3
1209,08047013801,3
1210,08047013802,3
1211,08069001807,3
1212,08077001702,0
1213,08077000900,0
1214,08077001200,0
1215,08077001800,0
1216,08077001403,0
1217,08069001901,3
1218,08077001001,0
1219,08077001402,0
1220,08077001600,0
1221,08077001102,0
1222,08077001404,0
1223,08077001705,0
1224,08123001412,2
1225,08123001409,2
1226,08123001415,2
1227,08123002008,2
1228,08123002016,2
1229,08123001413,2
1230,08123000704,2
1231,08123002020,2
1232,08123002021,2
1233,08123001905,2
1234,08123002011,2
1235,08123002015,2
1236,08123002017,2
1237,08123002204,3
1238,08123002205,3
1239,08123002206,3
1240,08123002210,3
1241,08123002207,3
1242,08123001003,2
1243,08123001414,2
1244,08123002012,2
1245,08041004601,7
1246,08041006301,7
1247,08041006802,7
1248,08041006801,7
1249,08025969601,0
1250,08025969602,0
1251,08067970701,0
1252,08067971100,0
1253,08067971000,0
1254,08067970800,0
1255,08067940300,0
1256,08067970900,0
1257,08067940400,0
1258,08125963100,4
1259,08125963200,4
1260,08037000100,3
1261,08037000600,3
1262,08037000200,3
1263,08119010104,7
1264,08123002208,2
1265,08123001906,2
1266,08123002010,2
1267,08041001400,7
1268,08059011803,5
1269,08059011804,5
1270,08059011951,5
1271,08031003902,6
1272,08031004002,6
1273,08031004003,6
1274,08031004004,6
1275,08059012023,5
1276,08059012024,5
1277,08031004202,1
1278,08031004302,6
1279,08031004005,6
1280,08031004006,6
1281,08031004101,1
1282,08031004303,6
1283,08059012038,5
1284,08059012039,5
1285,08059012041,5
1286,08059012043,5
1287,08031000800,5
1288,08031000902,5
1289,08031000903,5
1290,08059012046,5
1291,08059012047,5
1292,08059012048,5
1293,08059012049,5
1294,08059012051,5
1295,08059012053,5
1296,08059012054,5
1297,08059012044,5
1298,08059012055,5
1299,08059012057,5
1300,08059012026,5
1301,08059012036,5
1302,08031000905,5
1303,08123000401,2
1304,08123000300,2
1305,08123000402,2
1306,08031001000,6
1307,08031001101,1
1308,08031001102,1
1309,08031003603,1
1310,08059011904,5
1311,08101002804,0
1312,08101000200,0
1313,08101003103,0
1314,08101002806,0
1315,08101003001,0
1316,08101002901,0
1317,08101001000,0
1318,08101003200,0
1319,08014980100,2
1320,08089968600,0
1321,08089968300,0
1322,08089968400,0
1323,08089968000,0
1324,08089968500,0
1325,08089968200,0
1326,08113968103,0
1327,08113968102,0
1328,08089968100,0
1329,08063962100,4
1330,08107000500,3
1331,08107000200,3
1332,08107000100,3
1333,08107000300,3
1334,08107000400,3
1335,08107000600,3
1336,08083969000,0
1337,08083969200,0
1338,08083969600,0
1339,08083969400,0
1340,08083969100,0
1341,08035014138,4
1342,08035014134,4
1343,08035014132,4
1344,08035014140,4
1345,08035013910,4
1346,08123002013,2
1347,08123000705,2
1348,08041003308,7
1349,08041006902,7
1350,08001061200,2
1351,08031015400,5
1352,08005004952,6
1353,08123001406,3
1354,08123001405,3
1355,08123001006,2
1356,08123000703,2
1357,08043980200,0
1358,08013012608,2
1359,08013013505,2
1360,08041003306,7
1361,08041004403,0
1362,08041003305,7
1363,08041003307,7
1364,08041003802,7
1365,08041007602,7
1366,08041004602,7
1367,08041004603,7
1368,08041004706,7
1369,08041003801,7
1370,08045951701,3
1371,08045951901,3
1372,08107000800,3
1373,08005007400,6
1374,08005007600,6
1375,08059009847,5
1376,08059012034,5
1377,08059009837,5
1378,08059009828,5
1379,08059012058,5
1380,08059012027,5
1381,08059010403,5
1382,08059012050,5
1383,08059010603,5
1384,08059012045,5
1385,08059012030,5
1386,08059012035,5
1387,08059009841,5
1388,08059009815,5
1389,08059011702,5
1390,08005007201,6
1391,08005007202,6
1392,08059010701,5
1393,08059012032,5
1394,08059009846,5
1395,08059009845,5
1396,08059009848,5
1397,08059009806,5
1398,08059980000,5
1399,08059009829,5
1400,08059010306,5
1401,08059012033,5
1402,08059012022,5
1403,08059011723,5
1404,08059009840,5
1405,08059012031,5
1406,08059012037,5
1407,08059012042,5
1408,08059009839,5
1409,08059009842,5
1410,08059010100,5
1411,08059010205,5
1412,08121924200,4
1413,08121924100,4
1414,08045952100,3
1415,08045951600,3
1416,08045951802,3
1417,08041006100,7
1418,08041006200,7
1419,08035014107,4
1420,08035013904,4
1421,08035014503,4
1422,08035014300,4
1423,08035014108,4
1424,08035013909,4
1425,08035014115,4
1426,08041006400,7
1427,08035014116,4
1428,08035014123,4
