State, parcel level, k, n, m, s, obj_wo_symmetry, bound_wo_symmetry, gap_wo_symmetry(%), time_wo_symmetry, obj_w_symmetry, bound_w_symmetry, gap_w_symmetry(%), time_w_symmetry, gap_improvement(pp), 
NM,tract,3,612,1631,12,no incumbent,2.00,NA,3601.34,no incumbent,2.00,NA,3602.27,NA, 
CO,tract,8,1447,3909,11,no incumbent,-0.00,NA,3604.20,no incumbent,-0.00,NA,3601.77,NA, 
AZ,tract,9,1765,4593,12,no incumbent,3.00,NA,3628.35,no incumbent,3.00,NA,3629.21,NA, 
NJ,tract,12,2181,6061,12,no incumbent,2.00,NA,3711.59,no incumbent,1.00,NA,3715.91,NA, 
NM,county,3,33,78,4,Infeasible,-inf,NA,0.12,Infeasible,-inf,NA,0.03,NA, 
IL,tract,17,3265,8728,13,no incumbent,2.00,NA,3614.84,no incumbent,2.00,NA,3615.12,NA, 
TX,tract,38,6896,18554,12,no incumbent,22.00,NA,3641.07,no incumbent,22.00,NA,3709.14,NA, 
