State, parcel, k, n, m, diam, % minority VAP, current s, split parcels, current # minority districts
FL, tract, 28, 5160, 14099, 40, 24.99,31,316, 3
NY, tract, 26, 5411, 14844, 72, 18.19,24,292, 1
CA, tract, 52, 9129, 24980, 39, 35.95,29,906, 17
