State, parcel level, k, n, m, s, number of fixings, percent fixed, time, 
AZ,tract,9,5411,14844,12,173,9.80,530.79
AZ,tract,9,5411,14844,13,68,3.85,565.36
AZ,tract,9,5411,14844,14,15,0.85,552.57
AZ,tract,9,5411,14844,15,0,0.00,540.39
CO,tract,8,5411,14844,11,1447,100.00,0.0
CO,tract,8,5411,14844,12,1447,100.00,0.0
CO,tract,8,5411,14844,13,1447,100.00,0.0
CO,tract,8,5411,14844,14,1447,100.00,0.0
CO,tract,8,5411,14844,15,1441,99.59,189.93
CO,tract,8,5411,14844,16,43,2.97,311.58
CO,tract,8,5411,14844,17,14,0.97,506.39
FL,tract,28,5411,14844,11,2040,39.53,822.11
FL,tract,28,5411,14844,12,1694,32.83,934.23
FL,tract,28,5411,14844,13,1341,25.99,1080.14
FL,tract,28,5411,14844,14,1034,20.04,1357.19
FL,tract,28,5411,14844,15,781,15.14,1584.38
FL,tract,28,5411,14844,16,634,12.29,1739.77
IL,tract,17,5411,14844,13,1944,59.54,415.56
IL,tract,17,5411,14844,14,1759,53.87,423.61
IL,tract,17,5411,14844,15,1610,49.31,500.9
IL,tract,17,5411,14844,16,1432,43.86,558.95
IL,tract,17,5411,14844,17,1076,32.96,842.48
IL,tract,17,5411,14844,18,1008,30.87,951.73
NJ,tract,12,5411,14844,12,1551,71.11,45.67
NJ,tract,12,5411,14844,13,1433,65.70,64.83
NJ,tract,12,5411,14844,14,1362,62.45,97.71
NJ,tract,12,5411,14844,15,1293,59.28,119.47
NJ,tract,12,5411,14844,16,1220,55.94,162.85
NJ,tract,12,5411,14844,17,1105,50.66,216.11
NM,county,3,5411,14844,04,10,30.30,0.26
NM,county,3,5411,14844,05,3,9.09,0.15
NM,county,3,5411,14844,06,1,3.03,0.16
NM,county,3,5411,14844,07,1,3.03,0.17
NM,county,3,5411,14844,08,1,3.03,0.13
NM,county,3,5411,14844,09,1,3.03,0.15
NM,tract,3,5411,14844,12,0,0.00,24.77
NM,tract,3,5411,14844,13,0,0.00,35.09
NY,tract,26,5411,14844,13,3812,70.45,234.44
NY,tract,26,5411,14844,14,3466,64.05,507.32
NY,tract,26,5411,14844,15,2625,48.51,1034.38
NY,tract,26,5411,14844,16,2492,46.05,1141.51
NY,tract,26,5411,14844,17,2372,43.84,1234.66
NY,tract,26,5411,14844,18,2240,41.40,1360.73
TX,tract,38,5411,14844,12,1413,20.49,672.31
TX,tract,38,5411,14844,13,754,10.93,882.75
TX,tract,38,5411,14844,14,357,5.18,1121.55
TX,tract,38,5411,14844,15,206,2.99,1390.76
TX,tract,38,5411,14844,16,83,1.20,1600.07
TX,tract,38,5411,14844,17,34,0.49,1958.87
