State, parcel, k, n, m, diam, % minority VAP, current s, split parcels, current # minority districts
FL, tract, 28, 5160, 14099, 40, 24.99,NA,NA, NA
NY, tract, 26, 5411, 14844, 72, 18.19,NA,NA, NA
