State, parcel, k, n, m, obj. (k_m), time (s), x & z fixed (%), w fixed (%)
FL,tract,28,5160,14099,10,1409.27,64.29,64.29
NY,tract,26,5411,14844,5,1206.45,80.77,80.77
CA,tract,52,9129,24980,33,3615.60,36.54,36.54
