State, parcel, k, n, m, obj. (k_m), time (s), x & z fixed (%), w fixed (%)
NM,county,3,33,78,1,0.02,66.67,66.67
NM,tract,3,612,1631,2,0.21,33.33,33.33
CO,tract,8,1447,3909,1,0.78,87.50,87.50
AZ,tract,9,1765,4593,3,7.06,66.67,66.67
NJ,tract,12,2181,6061,2,21.44,83.33,83.33
IL,tract,17,3265,8728,3,39.42,82.35,82.35
TX,tract,38,6896,18554,24,2649.33,36.84,36.84
