State, parcel, n, m, k_m, s*, status, time, certified_by 
FL,tract,5160,14099,1,>=11,Unknown,793.71,timeout at u_s
NY,tract,5411,14844,1,[13,20],Bracketed,928.18,heuristic
NY,tract,5411,14844,2,[13,20],Bracketed,1296.82,heuristic
NY,tract,5411,14844,3,>=13,Unknown,519.09,timeout at u_s
