State, parcel, lower_bound_s, iterations, time
MS, county, 6, 6, 0.20,, 
MS, tract, 15, 5, 16.18,, 
LA, tract, 14, 5, 42.98,, 
SC, tract, 13, 5, 36.38,, 
AL, tract, 14, 5, 42.06,, 
MD, tract, 14, 5, 48.86,, 
MO, tract, 14, 5, 53.50,, 
TN, tract, 14, 6, 55.03,, 
VA, tract, 13, 6, 91.32,, 
NJ, tract, 12, 6, 100.71,, 
MI, tract, 14, 5, 205.05,, 
NC, tract, 13, 6, 148.70,, 
GA, tract, 14, 5, 172.66,, 
OH, tract, 13, 5, 223.23,, 
IL, tract, 13, 6, 237.77,, 
PA, tract, 13, 6, 215.01,, 
TX, tract, 12, 6, 1399.39,, 
