State, parcel, n, m, k_m, s*, status, time, certified_by 
FL,tract,5160,14099,1,>=11,Unknown,736.09,timeout at u_s
NY,tract,5411,14844,1,[13,20],Bracketed,1198.44,heuristic
NY,tract,5411,14844,2,[13,22],Bracketed,1323.84,heuristic
NY,tract,5411,14844,3,>=13,Unknown,618.39,timeout at u_s
