State, parcel, n, m, k_m, s*, status, time, certified_by 
MS,county,82,202,1,6,Feasible,0.41,MIP
MS,tract,878,2378,1,16,Feasible,7.77,heuristic+MIP
MD,tract,1475,3993,2,23,Feasible,0.00,heuristic
MD,tract,1475,3993,3,[23,24],Bracketed,3606.16,heuristic
GA,tract,2796,7762,2,[15,19],Bracketed,3600.54,heuristic
GA,tract,2796,7762,3,[15,19],Bracketed,3601.08,heuristic
MS,tract,878,2378,2,>=16,Unknown,3602.80,timeout at u_s
LA,tract,1388,3861,1,>=14,Unknown,2502.09,timeout at u_s
SC,tract,1323,3677,1,[13,24],Bracketed,2758.66,heuristic
