State, parcel, k, n, m, obj. (k_m), time (s), x & z fixed (%), w fixed (%)
FL,tract,28,5160,14099,4,607.60,85.71,85.71
NY,tract,26,5411,14844,6,771.13,76.92,76.92
CA,tract,52,9129,24980,0,7.90,100.00,100.00
