State, parcel, n, m, k_m, s*, status, time, certified_by 
FL,tract,5160,14099,1,>=11,Unknown,739.00,timeout at u_s
NY,tract,5411,14844,1,[13,20],Bracketed,1221.85,heuristic
NY,tract,5411,14844,2,[13,22],Bracketed,1578.83,heuristic
NY,tract,5411,14844,3,>=13,Unknown,617.75,timeout at u_s
